,attempt,t,alpha,gamma,rar,radr,plr,plrr,minv,maxv,light,left,right,oncoming,planner,state,action,reward,deadline,total_reward,successes,at-none,at-forward,at-left,at-right
0,1.0,0.0,0.7,0.5,1.0,0.9,1.0,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,35.0,-1.0,0.0,0.0,1.0,0.0,0.0
1,1.0,1.0,0.7,0.5,1.0,0.9,0.9,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,34.0,-2.0,0.0,0.0,2.0,0.0,0.0
2,1.0,2.0,0.7,0.5,1.0,0.9,0.81,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,33.0,-3.0,0.0,0.0,3.0,0.0,0.0
3,1.0,3.0,0.7,0.5,1.0,0.9,0.729,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,32.0,-1.0,0.0,0.0,4.0,0.0,0.0
4,1.0,4.0,0.7,0.5,1.0,0.9,0.6561,0.9,0.0,5.0,red,None,None,left,forward,20.0,forward,-1.0,31.0,-2.0,0.0,0.0,5.0,0.0,0.0
5,1.0,5.0,0.7,0.5,1.0,0.9,0.59049,0.9,0.0,5.0,green,None,None,left,forward,10020.0,forward,2.0,30.0,0.0,0.0,0.0,6.0,0.0,0.0
6,1.0,6.0,0.7,0.5,1.0,0.9,0.531441,0.9,0.0,5.0,green,None,None,None,forward,10000.0,right,0.5,29.0,0.5,0.0,0.0,6.0,0.0,1.0
7,1.0,7.0,0.7,0.5,0.9,0.9,0.531441,0.9,0.0,5.0,red,None,None,None,left,2.0,right,0.5,28.0,1.0,0.0,0.0,6.0,0.0,2.0
8,1.0,8.0,0.7,0.5,0.81,0.9,0.531441,0.9,0.0,5.0,green,None,forward,None,right,10101.0,left,0.5,27.0,1.5,0.0,0.0,6.0,1.0,2.0
9,1.0,9.0,0.7,0.5,0.729,0.9,0.531441,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,2.0,26.0,3.5,0.0,0.0,6.0,2.0,2.0
10,1.0,10.0,0.7,0.5,0.729,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,forward,0.0,left,-1.0,25.0,2.5,0.0,0.0,6.0,3.0,2.0
11,1.0,11.0,0.7,0.5,0.729,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,forward,0.0,left,-1.0,24.0,1.5,0.0,0.0,6.0,4.0,2.0
